Area,Car casualty rate,Population per square kilometre,Square Kilometres,Total major road dual carriageway,Road density,Traffic Flows - Cars,Traffic Flows - All vehicles,Cars,Motor cycles,Light goods,Heavy goods,Buses and coaches
Barking and Dagenham-2019,2254.51608,5950,36.107817,14.6,9.837205057,625,809,64869,1755,5946,848,181
Barnet-2019,1538.3877,4638,86.748314,44.3,9.338510026,1636,2089,143155,4385,8620,526,442
Bexley-2019,1457.99015,4174,60.580668,24.8,9.499730178,1010,1275,106628,4009,9527,1281,1146
Brent-2019,1349.42127,7887,43.232637,12.3,11.60697183,866,1098,92183,4890,8583,1208,2097
Bromley-2019,1447.33041,2227,150.134892,9.4,6.07453729,1249,1555,148462,5586,11999,686,325
Camden-2019,811.024,11727,21.789295,3.7,12.98802921,352,478,41394,2353,3468,299,88
Croydon-2019,1396.39523,4584,86.503635,9.9,9.093259491,1204,1507,141122,5329,11748,480,282
Ealing-2019,1679.31517,6377,55.544305,19,10.95341818,1107,1425,116969,4991,10559,1195,599
Enfield-2019,2076.13079,4200,80.831971,32,8.273953879,1532,2046,120019,3093,11049,2286,260
Greenwich-2019,1628.80024,6119,47.333867,30.5,11.30268947,992,1289,78636,3095,5671,543,279
Hackney-2019,1060.04553,15036,19.049025,4,14.45743286,403,548,41315,2723,3374,230,480
Hammersmith and Fulham-2019,972.22147,11348,16.397453,6.8,13.83141638,434,590,43524,3556,2379,168,103
Haringey-2019,1582.00166,9661,29.598387,4.4,12.19661058,509,670,61834,3443,4878,386,1920
Harrow-2019,1051.12279,5130,50.462744,7.9,9.593215938,767,933,100481,2103,5873,345,359
Havering-2019,1907.13229,2302,112.349666,40.8,6.226987804,1373,1881,115361,3521,12111,1498,286
Hillingdon-2019,1766.22022,2702,115.701137,44.8,6.971409451,2153,2662,141665,4103,16151,1466,570
Hounslow-2019,1638.90352,5026,55.977912,39.1,9.689536116,1459,1815,97535,3970,8310,1322,467
Islington-2019,610.39234,16261,14.856656,2,16.14764453,319,447,35536,2670,2781,230,161
Kensington and Chelsea-2019,986.36384,13241,12.124013,6,17.56019232,424,584,40806,2288,1558,57,93
Kingston upon Thames-2019,952.07513,4847,37.261176,13.9,9.613223158,874,1081,66239,3162,5578,182,197
Lambeth-2019,1223.79874,12608,26.810035,4.9,14.24466622,640,881,63007,4496,4458,154,142
Lewisham-2019,1271.89856,8934,35.149294,5.8,12.88788332,752,987,76392,3502,5354,271,227
Merton-2019,1176.48198,5593,37.624738,10.3,10.3362846,565,724,70113,3567,6052,814,2733
Newham-2019,1713.23067,9931,36.19839,17.4,12.35966572,824,1073,70338,2628,5419,656,1330
Redbridge-2019,1821.62492,5454,56.418997,27.8,9.959411366,1097,1389,105629,2460,6794,346,260
Richmond upon Thames-2019,742.35301,3496,57.406785,5.9,7.310982491,732,913,77021,3849,3926,147,1121
Southwark-2019,1113.44604,11339,28.862033,6.4,13.77588336,619,849,57378,3893,4087,252,1366
Sutton-2019,1318.15516,4782,43.846981,1.7,9.902620205,647,809,87727,3756,8308,467,276
Tower Hamlets-2019,1518.11421,16364,19.781276,16,15.33268127,749,1015,44581,2869,3001,243,100
Waltham Forest-2019,1252.78447,7390,38.807963,13,11.27088273,758,978,78237,2942,6235,514,224
Wandsworth-2019,743.15163,9597,34.26417,9,12.88518006,707,931,78995,5695,5356,448,312
Westminster-2019,1442.69221,12031,21.48698,17.1,16.50767116,627,890,50334,2391,3229,132,583
Barking and Dagenham-2018,2485.87251,5893,36.107817,14.6,9.803971256,612,798,63994,1835,6113,877,177
Barnet-2018,1647.37084,4577,86.748314,44.4,9.328135184,1587,2034,142324,4411,8830,561,495
Bexley-2018,1500.45701,4127,60.580668,24.8,9.49147672,970,1230,105638,4101,9876,1408,1109
Brent-2018,1435.93464,7792,43.232637,12.3,11.58384116,829,1056,92167,4691,8835,1257,2160
Bromley-2018,1383.28461,2216,150.134892,9.4,6.087192576,1187,1485,148873,5700,11952,696,348
Camden-2018,926.68156,11595,21.789295,3.7,12.91000925,351,479,42631,2451,3777,335,117
Croydon-2018,1318.29577,4523,86.503635,9.9,9.089791429,1157,1454,141284,5278,11819,516,303
Ealing-2018,1652.13374,6315,55.544305,19,10.9372149,1094,1411,116874,5163,10732,1189,700
Enfield-2018,2039.72217,4178,80.831971,31.5,8.256633999,1496,2016,119768,3092,11210,1977,250
Greenwich-2018,1582.88665,6049,47.333867,30.5,11.29212621,961,1256,78565,3203,5830,604,242
Hackney-2018,933.25944,14790,19.049025,4,14.4731817,390,532,41541,2816,3456,204,409
Hammersmith and Fulham-2018,938.37973,11224,16.397453,6.8,13.89849997,428,585,43441,3769,2527,206,96
Haringey-2018,1625.87206,9605,29.598387,4.4,12.1763392,488,644,61835,3353,5043,374,1922
Harrow-2018,1031.38529,5061,50.462744,7.9,9.593215938,726,888,100257,2169,5938,412,340
Havering-2018,1974.32218,2292,112.349666,40.8,6.228767961,1339,1840,115346,3670,12277,1561,299
Hillingdon-2018,1899.45674,2679,115.701137,44.8,6.973138043,2077,2580,140721,4247,16060,1456,545
Hounslow-2018,1724.63458,4971,55.977912,39.1,9.675244764,1381,1727,97108,3979,8309,1278,476
Islington-2018,794.50703,16038,14.856656,2,16.14764453,313,441,36281,2899,2817,272,176
Kensington and Chelsea-2018,1113.97786,13139,12.124013,6,17.49420757,413,572,41343,2482,1697,63,98
Kingston upon Thames-2018,832.05106,4820,37.261176,13.9,9.60785564,843,1048,65860,3213,5689,174,202
Lambeth-2018,1205.82848,12485,26.810035,4.9,14.19990686,618,855,63777,4592,5014,156,205
Lewisham-2018,1485.82046,8829,35.149294,5.8,12.86512327,713,941,77044,3649,5528,294,241
Merton-2018,1193.09749,5566,37.624738,10.3,10.35488938,543,699,71904,3513,6282,895,2634
Newham-2018,1610.77257,9759,36.19839,17.4,12.36795338,822,1074,70200,2619,5150,657,1512
Redbridge-2018,2096.37396,5422,56.418997,27.8,9.957638914,1093,1393,105129,2490,6974,337,265
Richmond upon Thames-2018,858.28627,3474,57.406785,5.9,7.309240537,701,878,77238,3889,3965,157,1182
Southwark-2018,1040.16945,11167,28.862033,6.4,13.7724186,597,823,57425,3923,4281,268,1396
Sutton-2018,1437.47708,4730,43.846981,1.7,9.888936253,607,762,87433,3811,8258,449,252
Tower Hamlets-2018,1495.09765,16036,19.781276,16,15.36806827,734,1003,44115,2860,3049,252,185
Waltham Forest-2018,1474.52114,7306,38.807963,13.1,11.27603631,755,979,78270,2983,6514,541,274
Wandsworth-2018,888.27901,9468,34.26417,9,12.82972855,673,888,79416,5830,5486,448,363
Westminster-2018,1476.55528,11839,21.48698,17.1,16.63798263,638,906,49775,2593,3310,123,574
Barking and Dagenham-2017,2282.74746,5830,36.107817,14.6,9.828896607,596,776,63081,1964,6136,1003,186
Barnet-2017,1856.61276,4512,86.748314,43.8,9.29816342,1555,1991,142346,4640,8921,551,625
Bexley-2017,1361.10253,4080,60.580668,24.5,9.649943114,944,1209,105953,4320,10033,1399,1098
Brent-2017,1461.55295,7697,43.232637,12.1,11.55377129,790,1007,92459,4793,8961,1235,2248
Bromley-2017,1602.95819,2204,150.134892,9.4,6.098515727,1151,1447,149173,5892,11866,635,354
Camden-2017,974.89353,11453,21.789295,3.7,13.13489032,349,477,46140,2685,4402,395,169
Croydon-2017,1455.16154,4466,86.503635,9.8,9.108287762,1098,1390,140656,5324,11812,555,330
Ealing-2017,1639.74604,6250,55.544305,18.5,10.91561052,1066,1375,117160,5119,10737,1246,725
Enfield-2017,2082.92632,4152,80.831971,30.8,8.304882235,1458,1958,120124,3252,11166,1823,270
Greenwich-2017,1739.44401,5974,47.333867,29.8,11.24776051,924,1211,78077,3322,5847,596,243
Hackney-2017,1025.62616,14566,19.049025,4,14.75666077,386,527,41699,2948,3461,199,432
Hammersmith and Fulham-2017,972.68823,11093,16.397453,6.7,13.87410594,412,564,43083,3958,2452,211,109
Haringey-2017,2035.21812,9541,29.598387,4.4,12.19998914,468,619,62055,3387,5218,366,1969
Harrow-2017,1052.71617,4995,50.462744,7.9,9.551601078,696,856,100663,2354,6073,607,353
Havering-2017,1956.73315,2280,112.349666,39.9,6.235888587,1295,1778,115199,3774,12425,1514,314
Hillingdon-2017,2060.57359,2654,115.701137,44,6.928194664,1969,2455,136829,4287,15359,1278,546
Hounslow-2017,2054.99814,4912,55.977912,36.9,9.578778144,1328,1660,97095,4103,8210,1290,507
Islington-2017,817.02128,15843,14.856656,2,16.15437552,308,435,35894,3016,2844,247,144
Kensington and Chelsea-2017,1252.07877,13028,12.124013,5.3,17.33749378,389,541,41528,2605,1851,78,102
Kingston upon Thames-2017,933.51431,4788,37.261176,13.8,9.623958192,812,1014,66126,3287,5734,164,205
Lambeth-2017,1268.33062,12352,26.810035,4.8,14.46846302,607,845,64532,4960,5032,169,231
Lewisham-2017,1380.65163,8717,35.149294,5.8,13.16669405,698,924,77287,3703,5608,287,251
Merton-2017,1193.87339,5534,37.624738,9.9,10.26718113,512,658,72299,3569,6412,815,2822
Newham-2017,1629.32907,9598,36.19839,17,12.26021378,800,1046,69977,2629,5153,678,1444
Redbridge-2017,2173.73296,5386,56.418997,27.5,9.934597029,1053,1339,105414,2589,7140,323,295
Richmond upon Thames-2017,940.31071,3449,57.406785,5.9,7.331885943,694,869,77639,3997,4035,152,1125
Southwark-2017,996.07933,11009,28.862033,6.4,13.85210806,583,808,57719,3980,4677,271,1418
Sutton-2017,1353.06013,4674,43.846981,1.7,9.895778229,589,740,87294,3929,8421,467,254
Tower Hamlets-2017,1461.20975,15724,19.781276,15.8,15.21135441,711,975,44138,2863,3162,296,204
Waltham Forest-2017,1557.14052,7216,38.807963,11.5,11.26315236,697,905,78840,3108,6661,554,252
Wandsworth-2017,856.90333,9331,34.26417,9,13.02818659,656,868,80195,6087,5569,464,372
Westminster-2017,1662.60887,11637,21.48698,17,16.60075078,633,898,51427,2737,3275,125,661
Barking and Dagenham-2016,2116.63276,5729,36.107817,14.5,9.790123839,591,770,62903,2145,6162,1045,190
Barnet-2016,1903.73573,4452,86.748314,43.8,9.275108217,1494,1911,142126,4861,8964,582,672
Bexley-2016,1307.40317,4044,60.580668,24.5,9.640038964,919,1179,105759,4482,9863,1280,1092
Brent-2016,1562.81416,7612,43.232637,12.1,11.54683208,773,987,93132,4709,11162,1196,2210
Bromley-2016,1642.75947,2181,150.134892,9.4,6.090522915,1126,1418,149302,6069,11888,667,357
Camden-2016,836.78269,11298,21.789295,3.7,13.13030091,343,470,47808,2857,4436,422,191
Croydon-2016,1417.71993,4420,86.503635,9.8,9.10597572,1069,1359,140772,5447,11772,611,349
Ealing-2016,1762.84106,6185,55.544305,18.5,10.91020943,1023,1318,117811,5260,10827,1216,1197
Enfield-2016,1747.15973,4101,80.831971,31.3,8.358079008,1436,1921,120393,3365,11150,2025,281
Greenwich-2016,1562.01969,5910,47.333867,29.8,11.26043642,886,1161,77768,3553,5813,742,239
Hackney-2016,990.76505,14380,19.049025,4,14.76716,380,522,41897,3196,3283,180,381
Hammersmith and Fulham-2016,962.96214,10977,16.397453,6.7,13.88020444,409,560,42923,4125,2602,213,116
Haringey-2016,1533.48345,9438,29.598387,4.4,12.21350339,458,608,62099,3491,5123,365,1984
Harrow-2016,1101.49868,4941,50.462744,7.9,9.545656098,673,828,100962,2293,6018,705,377
Havering-2016,2152.04345,2253,112.349666,39.6,6.227877883,1261,1727,115418,4055,12263,1526,320
Hillingdon-2016,1550.56187,2620,115.701137,44.2,6.911773045,1947,2433,136842,4565,15240,1272,706
Hounslow-2016,1906.77107,4851,55.977912,36.85,9.577884934,1319,1645,96898,4243,8019,1593,474
Islington-2016,798.74605,15698,14.856656,2,16.14091354,303,429,36529,3178,2842,219,146
Kensington and Chelsea-2016,925.18153,12960,12.124013,5.3,17.33749378,383,533,41924,2811,1822,87,104
Kingston upon Thames-2016,874.46836,4727,37.261176,13.8,9.613223158,799,1001,66142,3391,5799,153,210
Lambeth-2016,1238.14461,12243,26.810035,4.8,14.44981329,581,809,64641,5125,5024,197,232
Lewisham-2016,1454.28285,8605,35.149294,5.7,13.13824397,673,891,77142,3814,5587,331,261
Merton-2016,1360.78311,5467,37.624738,9.9,10.26186548,500,645,73833,3724,6515,818,2894
Newham-2016,1935.60875,9460,36.19839,16.3,12.22153803,754,989,67815,2811,5044,692,1520
Redbridge-2016,1948.21035,5306,56.418997,27,9.90801024,1033,1312,105660,2821,7038,328,322
Richmond upon Thames-2016,806.75633,3412,57.406785,5.9,7.32666008,681,852,77532,4294,3944,174,1078
Southwark-2016,1031.21418,10875,28.862033,6.4,13.84517854,563,783,57868,4072,4843,265,1508
Sutton-2016,1117.5947,4621,43.846981,1.7,9.891216912,569,718,87061,4074,8390,476,254
Tower Hamlets-2016,1482.67695,15445,19.781276,15.8,15.22652027,681,941,43566,2942,3212,366,217
Waltham Forest-2016,1435.59924,7125,38.807963,11.5,11.27088273,680,879,78868,3266,6834,607,244
Wandsworth-2016,945.91517,9242,34.26417,8.5,12.96981658,618,819,80369,6609,5423,386,368
Westminster-2016,1550.80084,11524,21.48698,16.7,16.5960968,632,895,50490,2930,2907,135,257
Barking and Dagenham-2015,1876.4327,5605,36.107817,14.5,9.740273138,582,739,61497,2164,6066,1023,203
Barnet-2015,1998.99392,4378,86.748314,43.6,9.231303331,1523,1910,140154,4889,8619,521,710
Bexley-2015,1354.57707,4001,60.580668,24.5,9.432051822,899,1131,104360,4540,9751,1308,1038
Brent-2015,1487.59922,7514,43.232637,9.9,11.43349179,749,937,91260,4410,11123,1158,2217
Bromley-2015,1563.76498,2167,150.134892,9.4,6.085194373,1127,1386,147812,6106,11533,659,364
Camden-2015,1140.79956,11063,21.789295,3.7,13.22667851,350,468,48063,3116,4442,452,190
Croydon-2015,1295.40855,4382,86.503635,9.8,9.122160011,1062,1314,138642,5509,11298,543,350
Ealing-2015,1530.34901,6183,55.544305,18.5,10.91381016,1035,1308,116985,5799,10457,1265,1233
Enfield-2015,2012.58704,4064,80.831971,31.3,8.358079008,1442,1893,118842,3369,10913,1856,280
Greenwich-2015,1411.92054,5806,47.333867,29.8,11.26888703,897,1149,76451,3549,5653,643,242
Hackney-2015,1044.57472,14143,19.049025,4,14.79340806,380,508,41365,3045,3278,170,314
Hammersmith and Fulham-2015,919.68118,10962,16.397453,6.7,13.88630295,404,540,42631,4177,2581,231,149
Haringey-2015,1630.84907,9249,29.598387,4.4,12.21688195,461,593,61102,3403,4873,341,1655
Harrow-2015,1359.6083,4908,50.462744,7.9,9.537729458,668,801,100091,2111,5904,691,339
Havering-2015,2388.7428,2220,112.349666,39.6,6.21363663,1244,1662,113863,4130,11912,1436,343
Hillingdon-2015,2018.57356,2579,115.701137,44.2,6.892758539,1911,2348,136355,4531,15992,1276,852
Hounslow-2015,1901.25386,4809,55.977912,36.85,9.55287507,1314,1609,95708,4203,7800,1752,486
Islington-2015,992.56891,15350,14.856656,2,16.14764453,304,418,36556,3168,2913,209,152
Kensington and Chelsea-2015,976.46962,13041,12.124013,5.3,17.37873425,385,521,42145,2942,1874,97,100
Kingston upon Thames-2015,916.29448,4658,37.261176,13.8,9.610539399,789,967,65371,3409,5841,144,204
Lambeth-2015,1192.85765,12113,26.810035,4.8,14.23347638,575,777,63649,5006,4870,178,264
Lewisham-2015,1385.68906,8476,35.149294,5.7,12.92771343,661,847,75641,3641,5445,398,265
Merton-2015,1290.54335,5455,37.624738,9.9,10.26186548,504,630,72203,3736,6231,737,2749
Newham-2015,1694.62497,9234,36.19839,16.3,12.19114994,749,961,65360,2742,4876,656,1544
Redbridge-2015,2021.61102,5263,56.418997,27,9.911555145,1024,1275,104299,2808,6880,322,323
Richmond upon Thames-2015,724.07949,3392,57.406785,5.9,7.324918126,683,835,77273,4237,3831,169,1025
Southwark-2015,744.57512,10725,28.862033,6.4,13.83131951,568,767,57600,4044,4822,281,1443
Sutton-2015,974.29364,4574,43.846981,1.7,9.902620205,563,689,86066,4102,8293,505,247
Tower Hamlets-2015,1612.26951,14959,19.781276,15.8,15.26696256,669,904,42514,2781,3248,397,213
Waltham Forest-2015,1486.1526,7004,38.807963,11.5,11.26057557,674,853,77403,3246,6590,581,248
Wandsworth-2015,858.38547,9197,34.26417,8.5,12.84723955,629,813,80201,6686,5344,370,407
Westminster-2015,1617.83581,11277,21.48698,16.7,16.64263661,644,891,50557,2956,2976,107,283
